com.samsung.health.floors_climbed,6211031,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-02-25 13:12:10.505,,2022-02-25 13:19:09.546,2022-02-25 13:19:09.508,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-25 13:12:27.507,287bb621-e4f5-9bed-d9bf-eb770b6e1c18,
2022-02-27 16:11:38.905,,2022-02-27 16:12:44.967,2022-02-27 16:12:44.937,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-27 16:12:02.907,d7f353d8-8c0d-0f99-a16e-c61cd961d1a7,
2022-02-28 18:10:42.812,,2022-02-28 18:15:03.911,2022-02-28 18:15:03.817,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-28 18:10:54.814,bd0f7389-63a4-4261-989b-90df2365102a,
2022-03-01 01:44:33.941,,2022-03-01 01:47:53.999,2022-03-01 01:47:53.967,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-01 01:44:51.943,fb6f5284-bf74-e2bd-d5c4-1ec6f03a6677,
2022-03-04 04:39:03.374,,2022-03-04 04:45:47.581,2022-03-04 04:45:47.531,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-04 04:39:30.376,a44b5427-0f6c-6fdc-892a-e0c66f4a5f0b,
2022-03-06 04:32:11.351,,2022-03-06 04:36:42.485,2022-03-06 04:36:42.384,2.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-06 04:32:47.354,aa9338fd-739f-2b88-68c5-5f5e44fcc375,
2022-03-06 13:46:30.800,,2022-03-06 14:06:29.903,2022-03-06 14:06:29.878,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-06 13:46:56.802,79be6d94-ee6f-e6b7-28d2-803a9fd4fdf1,
2022-02-25 13:58:00.874,,2022-02-25 14:08:55.914,2022-02-25 14:08:55.879,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-25 13:58:13.876,4522eea6-cbd4-d46b-dd8c-e550d6183ce5,
2022-03-11 04:50:06.828,,2022-03-11 04:50:40.917,2022-03-11 04:50:40.851,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-11 04:50:24.830,4de88a8b-74e3-1849-0fb8-d233a67cd5c7,
2022-03-11 07:16:33.754,,2022-03-11 07:20:11.918,2022-03-11 07:20:11.823,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-11 07:16:58.756,d9acf433-a828-db7e-d492-795593cd7fb9,
2022-02-27 20:06:27.618,,2022-02-27 20:07:24.712,2022-02-27 20:07:24.664,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-27 20:06:38.620,36ae5699-add3-cc8b-78bc-dbb8261991cc,
2022-02-28 22:15:18.600,,2022-02-28 22:15:49.653,2022-02-28 22:15:49.607,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-28 22:15:31.602,241508dd-ed95-abea-ef4a-b31a73f27f38,
2022-03-16 05:03:52.909,,2022-03-16 05:10:16.139,2022-03-16 05:10:16.080,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-16 05:04:01.911,80b667db-5951-bf3c-5744-3458f90b0c47,
