com.samsung.shealth.activity.day_summary,6211031,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
7904,5686713,90,0,2022-03-26 15:59:39.478,2022-03-26 15:59:00.623,-1,858040,104,6154.379,494.74792,2c18e30a-d77f-4b27-8e33-c29c881e7b92.extra_data.json,Idp7XEd6un,3600,com.sec.android.app.shealth,5683113,18900000,2c18e30a-d77f-4b27-8e33-c29c881e7b92,1646265600000,
15468,10512899,90,0,2022-03-26 15:59:39.687,2022-03-26 15:59:00.659,-1,1606980,194,11963.853,1048.2594,12937394-7eab-4e67-b7c3-443588fb95ca.extra_data.json,Idp7XEd6un,0,com.sec.android.app.shealth,10512899,31500000,12937394-7eab-4e67-b7c3-443588fb95ca,1646352000000,
2542,1763823,90,0,2022-03-26 15:59:39.238,2022-03-26 15:59:00.576,-1,634220,32,2019.692,156.58984,2f9bb30b-c66f-48e9-9b32-92431e9cef51.extra_data.json,Idp7XEd6un,6400,com.sec.android.app.shealth,1757423,52620000,2f9bb30b-c66f-48e9-9b32-92431e9cef51,1646179200000,
18015,12333785,90,0,2022-03-26 15:59:40.071,2022-03-26 15:59:00.728,-1,3233360,227,13667.775,1156.7059,70d50023-982c-4f04-9967-758ae1295359.extra_data.json,Idp7XEd6un,1200,com.sec.android.app.shealth,12332585,31320000,70d50023-982c-4f04-9967-758ae1295359,1646524800000,
3855,2568348,90,0,2022-03-26 15:59:38.702,2022-03-26 15:59:00.497,-1,53360,46,2952.4768,199.67339,2bd2ffd2-1205-4e3d-9232-566d25efb57f.extra_data.json,Idp7XEd6un,4400,com.sec.android.app.shealth,2563948,28980000,2bd2ffd2-1205-4e3d-9232-566d25efb57f,1646006400000,
13205,9142062,90,0,2022-03-26 15:59:41.421,2022-03-26 15:59:01.028,-1,961300,168,10468.373,741.37305,9995885f-d573-4d03-b6f1-fb6c03c4a6e8.extra_data.json,Idp7XEd6un,4800,com.sec.android.app.shealth,9137262,29160000,9995885f-d573-4d03-b6f1-fb6c03c4a6e8,1647043200000,
11698,8215139,90,0,2022-03-26 15:59:41.205,2022-03-26 15:59:00.969,-1,1292160,151,8722.606,732.29987,25e2c0f0-1be4-4e2c-b2e8-a544998a13e0.extra_data.json,Idp7XEd6un,400,com.sec.android.app.shealth,8214739,19020000,25e2c0f0-1be4-4e2c-b2e8-a544998a13e0,1646956800000,
9311,6316595,90,0,2022-03-26 15:59:41.591,2022-03-26 15:59:01.101,-1,1373820,116,7297.464,535.4229,a2f9614a-e66f-458b-a9e3-f666b350f1e6.extra_data.json,Idp7XEd6un,9993,com.sec.android.app.shealth,6306602,23640000,a2f9614a-e66f-458b-a9e3-f666b350f1e6,1647129600000,
8900,5920715,90,0,2022-03-26 15:59:40.760,2022-03-26 15:59:00.841,-1,1333120,108,7075.5034,514.6145,9d4ce3bf-0538-4bb5-83ad-1ede72b7420d.extra_data.json,Idp7XEd6un,2000,com.sec.android.app.shealth,5918715,29940000,9d4ce3bf-0538-4bb5-83ad-1ede72b7420d,1646784000000,
4541,3503581,,651380,2021-07-24 04:00:02.856,2021-07-23 04:00:00.494,60,651380,96,3404.915,278.43152,c1938e3c-97c4-4228-9162-0e58d63150a6.extra_data.json,Idp7XEd6un,11600,com.sec.android.app.shealth,2840601,30600000,c1938e3c-97c4-4228-9162-0e58d63150a6,1626998400000,
8734,5812279,90,0,2022-03-26 15:59:40.971,2022-03-26 15:59:00.896,-1,60000,106,6861.042,437.11996,240c0c7a-2900-4d9c-a6ef-ad9d045c206d.extra_data.json,Idp7XEd6un,4800,com.sec.android.app.shealth,5807479,27240000,240c0c7a-2900-4d9c-a6ef-ad9d045c206d,1646870400000,
4898,3144440,,0,2021-05-15 12:19:45.867,2021-05-14 04:00:01.023,60,826840,85,3948.501,264.96985,b2322c9e-1309-44a7-86a2-1345391a36ee.extra_data.json,Idp7XEd6un,91198,com.sec.android.app.shealth,3053242,30900000,b2322c9e-1309-44a7-86a2-1345391a36ee,1620950400000,
4936,3290176,90,0,2022-03-26 15:59:43.588,2022-03-26 15:59:01.510,-1,60000,60,3860.5203,248.6073,2ab024b8-c849-4bf1-afc7-d28ce50a0226.extra_data.json,Idp7XEd6un,3200,com.sec.android.app.shealth,3286976,27720000,2ab024b8-c849-4bf1-afc7-d28ce50a0226,1648166400000,
