com.samsung.shealth.activity.goal,6211031,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2021-03-18 16:23:37.243,2021-03-18 16:23:37.243,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616084617237,7250cde9-1341-4eff-95ec-4dcd01ac101a,
2021-03-17 01:43:03.191,2021-03-17 01:43:03.191,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615945383175,88c6938d-cb2e-48bc-9d0b-aa2890872ddc,
2021-03-17 01:37:10.035,2021-03-17 01:37:10.035,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615945030012,a6c7aec0-8821-404f-af21-f0d8e5b37ff9,
2021-03-18 17:06:51.173,2021-03-18 17:06:51.173,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616087211169,2a0b4ddc-0a96-4fd9-b962-3bb780af5824,
2021-03-17 01:36:41.289,2021-03-17 01:36:41.289,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615945001287,a5fc9a0a-5529-4f72-9eb3-8966428b7d9f,
2021-03-18 15:59:30.602,2021-03-18 15:59:30.602,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616083170595,edb8ccc0-019f-44d1-a190-1e8c87334dfd,
2021-03-18 16:08:30.310,2021-03-18 16:08:30.310,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616083710307,0e3e95d0-eeb2-4c4a-b43e-4a77f8ee0014,
2021-03-17 01:08:52.486,2021-03-17 01:08:52.486,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615943332475,fd1ce5a5-6db5-4919-9308-18bc19d59761,
2021-03-18 18:27:21.637,2021-03-18 18:27:21.637,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616092041633,43400401-5914-40c7-979e-fb58ff84970f,
2021-03-18 17:06:55.170,2021-03-18 17:06:55.170,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616087215169,cdec6476-dc50-40b9-a652-4961099c985a,
2021-03-17 01:42:41.385,2021-03-17 01:42:41.385,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615945361371,fabcd922-3842-4584-9c73-987ae8953ca7,
2021-03-15 17:59:18.785,2021-03-15 17:59:18.785,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615831158779,c7d727c9-31c4-47c8-8afa-012f16b6bf4a,
2021-03-17 03:28:27.274,2021-03-17 03:28:27.274,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615951707253,113a62fc-563d-4436-967e-844acd661f5a,
2021-03-18 15:42:37.977,2021-03-18 15:42:37.977,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616082157967,78ecb3c0-8baa-4341-a4a8-c7987dc6c6e7,
2021-03-17 03:05:41.236,2021-03-17 03:05:41.236,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615950341226,a4d6fd86-40ea-4426-8322-fb91b5a2dd4d,
2021-03-17 01:37:28.331,2021-03-17 01:37:28.331,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615945048318,8b403d47-a744-48d9-a6a9-0053b79654fb,
2021-03-17 02:29:32.316,2021-03-17 02:29:32.316,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615948172297,5946f5f1-76b0-40a5-97ec-e1f95a49b485,
2021-03-19 17:32:11.587,2021-03-19 17:32:11.587,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616175131575,1ef00819-c660-4e14-9c5b-014ae25b6eea,
2021-03-13 23:32:54.255,2021-03-13 23:32:54.255,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615678374254,64474ffb-dc10-48e7-8e44-74d2f9648b23,
2021-03-21 00:03:03.561,2021-03-21 00:03:03.561,60,UTC-0400,Idp7XEd6un,com.sec.android.app.shealth,1616284983558,247ced33-53db-4d8a-aa18-652cbe55c9ca,
2020-10-30 13:13:23.595,2020-10-30 13:13:23.595,60,UTC-0400,Idp7XEd6un,com.sec.android.app.shealth,1604063603589,9d333326-c2f5-453c-ade6-a3931c532c37,
2021-03-17 01:36:42.492,2021-03-17 01:36:42.492,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615945002491,f53eb636-5094-450a-817d-da76b5999148,
