com.samsung.shealth.exercise,6211031,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,0,,42.0,0,,,,4,0,,,0,,0.0,,,,,701220,,,34824674-6c79-1cb1-0912-cbf24838f6fc.com.samsung.health.exercise.location_data.json,2020-11-20 18:39:45.100,1001,,,,,30001,,,,2020-11-20 18:52:30.427,2020-11-20 18:52:30.427,,1.6691811,,,1020,804.50134,,42.0,,,,UTC-0500,j9zBUHWfhn,,,34824674-6c79-1cb1-0912-cbf24838f6fc.com.samsung.health.exercise.live_data.json,,1.4591382,com.sec.android.app.shealth,,,,2020-11-20 18:51:26.320,34824674-6c79-1cb1-0912-cbf24838f6fc,,
,0,,76.0,0,,,,4,0,,,0,,0.0,,,,,648040,,,,2021-05-19 00:54:58.000,0,,,,,,,,,2021-05-19 01:06:49.337,2021-05-19 01:06:49.337,,,,,,,,76.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-05-19 01:05:46.040,b1bacd18-57fd-67ef-801c-8efeb7761f84,,
,0,,50.0,0,,,,4,0,,,0,,0.0,,,,,846020,,,d863a87c-df73-23eb-cc48-1188f3224327.com.samsung.health.exercise.location_data.json,2020-12-13 15:44:37.940,1001,,,,,30001,,,,2020-12-13 15:59:47.404,2020-12-13 15:59:47.404,,1.9166666,,,1130,883.36,,50.0,,,,UTC-0500,j9zBUHWfhn,,,d863a87c-df73-23eb-cc48-1188f3224327.com.samsung.health.exercise.live_data.json,,1.3888326,com.sec.android.app.shealth,,,,2020-12-13 15:58:43.960,d863a87c-df73-23eb-cc48-1188f3224327,,
,0,,62.0,0,,,,4,0,,,0,,0.0,,,,,762660,,,,2021-06-14 00:08:23.320,1001,,,,,30001,,,,2021-06-14 00:22:09.298,2021-06-14 00:22:09.298,,1.5557746,,,1196,956.8741,,62.0,,,,UTC-0400,j9zBUHWfhn,,,42be5f0b-3258-2606-b3e1-d85134236a9f.com.samsung.health.exercise.live_data.json,,1.4960299,com.sec.android.app.shealth,,,,2021-06-14 00:21:05.980,42be5f0b-3258-2606-b3e1-d85134236a9f,,
6a60fc65-8226-32fd-975f-cf88e5ca5bc3.live_data_internal.json,0,,68.0,0,,,,4,0,,,0,45,0.0,,,,,640840,,,,2022-02-23 00:00:41.400,1001,,,,91.0,30001,,,99.0,2022-02-23 00:12:55.844,2022-02-23 00:12:55.844,,2.1666667,,68.0,840,654.25,,68.0,,,,UTC-0500,j9zBUHWfhn,,,6a60fc65-8226-32fd-975f-cf88e5ca5bc3.com.samsung.health.exercise.live_data.json,,1.4099476,com.sec.android.app.shealth,,,,2022-02-23 00:11:22.240,6a60fc65-8226-32fd-975f-cf88e5ca5bc3,,
,0,,60.0,0,,,,4,0,,,0,,0.0,,,,,1017180,,,e0d8c1c8-59aa-c812-2f27-19a968daee47.com.samsung.health.exercise.location_data.json,2020-11-15 18:05:02.680,1001,,,,,30001,,,,2020-11-15 18:23:02.301,2020-11-15 18:23:02.301,,1.8888888,,,1149,905.79,,60.0,,,,UTC-0500,j9zBUHWfhn,,,e0d8c1c8-59aa-c812-2f27-19a968daee47.com.samsung.health.exercise.live_data.json,,1.4416568,com.sec.android.app.shealth,,,,2020-11-15 18:21:59.860,e0d8c1c8-59aa-c812-2f27-19a968daee47,,
,0,,50.0,0,,,,4,0,,,0,,0.0,,,,,645120,,,,2021-05-27 21:44:46.320,1001,,,,,30001,,,,2021-05-27 21:56:34.268,2021-05-27 21:56:34.268,,1.5833334,,,889,697.1,,50.0,,,,UTC-0400,j9zBUHWfhn,,,71c43ceb-11ab-c3ef-5c32-1a431289825e.com.samsung.health.exercise.live_data.json,,1.4116162,com.sec.android.app.shealth,,,,2021-05-27 21:55:31.440,71c43ceb-11ab-c3ef-5c32-1a431289825e,,
,0,,78.0,0,,,,4,0,,,0,,0.0,,,,,2655880,,,,2021-06-28 23:06:52.880,0,,,,,,,,,2021-06-28 23:52:11.314,2021-06-28 23:52:11.314,,,,,,,,78.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-06-28 23:51:08.760,cf0654b6-1a4f-f865-adf8-9f2c9ad31089,,
,0,,99.0,0,,,,4,0,,,0,,0.0,,,,,1219440,,,,2021-06-28 21:59:44.440,1001,,,,,30001,,,,2021-06-28 22:21:14.400,2021-06-28 22:21:14.400,,1.6666666,,,1914,1503.2509,,99.0,,,,UTC-0400,j9zBUHWfhn,,,b92e5c7d-dd9a-89a3-5a4d-cb27bd5e0662.com.samsung.health.exercise.live_data.json,,1.4109771,com.sec.android.app.shealth,,,,2021-06-28 22:20:03.880,b92e5c7d-dd9a-89a3-5a4d-cb27bd5e0662,,
,0,,112.0,0,,,,4,0,,,0,,0.0,,,,,2055300,,,7e3a35e5-491b-85c1-d1fd-f13c9781bd16.com.samsung.health.exercise.location_data.json,2020-10-03 19:10:41.500,1001,,,,,30001,,,,2020-10-03 19:45:58.358,2020-10-03 19:45:58.358,,2.0011046,,,2565,1706.491,,112.0,,,,UTC-0400,j9zBUHWfhn,,,7e3a35e5-491b-85c1-d1fd-f13c9781bd16.com.samsung.health.exercise.live_data.json,,1.4796604,com.sec.android.app.shealth,,,,2020-10-03 19:44:56.800,7e3a35e5-491b-85c1-d1fd-f13c9781bd16,,
