com.samsung.shealth.food_frequent,6211031,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2022-03-26 15:59:00.469,2022-03-26 15:59:00.469,0.95,0.95,0.95,Idp7XEd6un,com.sec.android.app.shealth,0.95,291d6722-485d-4be0-b748-133127edb557,369d0ef5-c620-48d9-9a34-59d0c087bee4,0.95,
0.91,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.91,0.91,0.91,Idp7XEd6un,com.sec.android.app.shealth,0.91,86d5074d-6902-42bb-8492-340bdca2a1b0,ea8dfcd0-aa31-434f-ae10-69b877dae070,0.91,
0.99,2022-03-26 15:59:00.469,2022-03-26 15:59:00.469,0.99,0.99,0.99,Idp7XEd6un,com.sec.android.app.shealth,0.99,0840dc6a-8859-423d-9181-3372e4a70ac8,67f61be9-8846-41cc-97c8-be833a579a17,0.99,
0.71,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.71,0.71,0.71,Idp7XEd6un,com.sec.android.app.shealth,0.71,91944c6e-e828-408b-939c-b1f4c74dec37,dcec63f2-9350-4d8f-995f-bcc5d8344a03,0.71,
0.75,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.75,0.75,0.75,Idp7XEd6un,com.sec.android.app.shealth,0.75,fa24536c-995e-4dc0-9b58-863ee1c3f2b7,5b0e04e2-0d13-4c48-96f7-4a2d47cd0ec7,0.75,
0.87,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.87,0.87,0.87,Idp7XEd6un,com.sec.android.app.shealth,0.87,2790fdf5-5a37-40b4-a1f3-5f0ae9e2e64c,f01fadf4-7f92-443f-b7d2-3b0dec97d75f,0.87,
0.75,2020-10-30 13:13:22.964,2020-10-30 13:13:22.964,0.75,0.75,0.75,Idp7XEd6un,com.sec.android.app.shealth,0.75,29427e16-6e54-44f0-aedc-e3a4dc3ef27a,c4598396-5700-4aac-81c6-9106b6697e22,0.75,
0.67,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.67,0.67,0.67,Idp7XEd6un,com.sec.android.app.shealth,0.67,ea925f78-e828-413d-ac77-da5b59a36345,d3a26571-cea0-4042-a909-9c81c877423b,0.67,
0.67,2020-10-30 13:13:22.966,2020-10-30 13:13:22.966,0.67,0.67,0.67,Idp7XEd6un,com.sec.android.app.shealth,0.67,9da57bf5-9212-4dde-9e13-c3367e93c910,077fbb64-5488-4b91-b3e0-4b1747d76ec0,0.67,
0.63,2020-10-30 13:13:22.967,2020-10-30 13:13:22.967,0.63,0.63,0.63,Idp7XEd6un,com.sec.android.app.shealth,0.63,b7998e1d-df62-419f-8c4c-d1012479507c,bdc5ef07-83e0-4711-8bd0-8c1efa14c38c,0.63,
0.83,2020-10-30 13:13:22.964,2020-10-30 13:13:22.964,0.83,0.83,0.83,Idp7XEd6un,com.sec.android.app.shealth,0.83,e2b47955-3f0e-4a9d-88d4-cd18f4897c52,96a7f769-3e59-40b3-a53d-a87b6f45c8c2,0.83,
0.63,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.63,0.63,0.63,Idp7XEd6un,com.sec.android.app.shealth,0.63,b8e80586-9e5a-426d-868d-a66ab48eb9be,8238d353-708a-4d3d-89a2-33b1bd59cb92,0.63,
0.79,2020-10-30 13:13:22.964,2020-10-30 13:13:22.964,0.79,0.79,0.79,Idp7XEd6un,com.sec.android.app.shealth,0.79,05e646e8-7d03-4c9c-a49f-48f7615ae518,d79a6667-05f8-43f0-8d2f-ca38f7b39209,0.79,
0.83,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.83,0.83,0.83,Idp7XEd6un,com.sec.android.app.shealth,0.83,f61ee9c0-af1a-468b-9a2a-f0b7625f7df0,c1cf9db2-3c38-4662-b9e8-2f61b1d8906b,0.83,
0.79,2022-03-26 15:59:00.470,2022-03-26 15:59:00.470,0.79,0.79,0.79,Idp7XEd6un,com.sec.android.app.shealth,0.79,3c567666-61f2-4dd8-9c2d-2a356d867da3,b7180df6-1e48-4e06-8d6b-e9458a5c9a87,0.79,
0.91,2020-10-30 13:13:22.963,2020-10-30 13:13:22.963,0.91,0.91,0.91,Idp7XEd6un,com.sec.android.app.shealth,0.91,8d4da706-803f-4859-9ea5-cbee884c2dbd,691c0f21-b43c-4570-80e3-69ab04d2d62b,0.91,
0.95,2020-10-30 13:13:22.962,2020-10-30 13:13:22.962,0.95,0.95,0.95,Idp7XEd6un,com.sec.android.app.shealth,0.95,1de5e205-33c7-4731-b2aa-97498b570f3c,8634b2c4-de6b-43b8-94e5-a05076f5c6c4,0.95,
0.99,2020-10-30 13:13:22.962,2020-10-30 13:13:22.962,0.99,0.99,0.99,Idp7XEd6un,com.sec.android.app.shealth,0.99,38b2363c-0b8b-4b9b-a4b5-85d2ac84ed3f,2339ee41-db52-43c6-8437-6714b0a6d32f,0.99,
0.87,2020-10-30 13:13:22.963,2020-10-30 13:13:22.963,0.87,0.87,0.87,Idp7XEd6un,com.sec.android.app.shealth,0.87,13f94390-d97d-47bf-ba84-1d682d22bb64,bc572cd9-70d9-4f44-b7c5-eb8038797056,0.87,
0.71,2020-10-30 13:13:22.965,2020-10-30 13:13:22.965,0.71,0.71,0.71,Idp7XEd6un,com.sec.android.app.shealth,0.71,3c1a3387-3c8c-4d07-bca1-9aea8b4eeb6b,ee1e577f-4a10-4895-9822-5712afbc697c,0.71,
