com.samsung.shealth.rewards,6211031,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-11-28 21:23:22.668,,,,2020-11-30 23:41:44.963,2020-11-28 21:23:22.729,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":88,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-28 21:23:22.668,0a9b4868-222e-4268-b792-1c602e3039bd,0,
,2020-12-10 23:29:04.051,,,,2020-12-12 02:30:57.039,2020-12-10 23:29:04.070,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":115,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-12-10 23:29:04.051,533d1c03-0959-4fc6-ab93-279c69c4c2fa,0,
,2021-09-21 23:05:23.686,,,,2021-09-23 12:22:58.278,2021-09-21 23:05:23.723,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":74,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-09-21 23:05:23.686,20bbd8a3-8f30-43bb-98ef-accdab1a3498,0,
,2020-11-01 17:43:49.942,,,,2020-11-03 02:37:19.672,2020-11-01 17:43:49.999,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":93,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-01 17:43:49.942,aa2d4a43-6523-446b-b6d6-2fcccb9d69bb,0,
,2021-09-02 02:52:05.555,,,,2021-09-24 14:35:42.910,2021-09-02 02:52:05.613,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":60,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-09-02 02:52:05.555,ad2dafb5-3df2-4c5b-93ee-829ba03a3331,0,
,2020-10-03 04:00:00.000,,,,2020-10-30 13:13:58.821,2020-10-30 13:13:58.821,,,tracker_floor_reward_most_floors_climbed,UTC-0400,"{""mTarget"":-1,""mValue"":107.0}",Idp7XEd6un,com.sec.android.app.shealth,tracker.floor,2020-10-03 04:00:00.000,b4030c1c-bbe7-4dff-b991-3e48ff92ef03,1,
,2021-06-04 22:19:35.585,,,,2021-06-05 17:24:45.860,2021-06-04 22:19:35.638,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":96,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-06-04 22:19:35.585,92eddaa8-8afc-4c45-b4fb-7e8e700e826b,0,
,2021-05-27 23:35:14.700,,,,2021-05-29 00:25:29.099,2021-05-27 23:35:14.735,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":77,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-05-27 23:35:14.700,e4daee4c-cde8-4534-80f9-074fe9cfd57e,0,
,2021-04-10 16:29:10.341,,,,2021-04-12 12:24:49.186,2021-04-10 16:29:10.413,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":100,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-04-10 16:29:10.341,a8184882-018d-47b4-94b2-74f42f8e9f66,0,
,2021-05-27 00:26:36.848,,,,2021-05-27 23:35:14.725,2021-05-27 00:26:36.895,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":99,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-05-27 00:26:36.848,33d4de12-3d48-464a-8469-bb8e877a936e,0,
,2021-03-06 23:42:40.409,,,,2021-03-15 00:38:08.778,2021-03-06 23:42:40.484,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":68,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-03-06 23:42:40.409,72ddd866-205b-454a-b8d3-be802db73802,0,
,2021-08-04 02:39:00.646,,,,2021-08-06 22:40:00.497,2021-08-04 02:39:00.687,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":63,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-04 02:39:00.646,2cc84eb9-42ad-42ec-8e04-533e4aafce9e,0,
,2021-06-25 21:21:24.262,,,,2021-06-26 20:35:12.270,2021-06-25 21:21:24.287,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":103,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-06-25 21:21:24.262,84373cd2-907f-4a04-ae1c-772e14ed1379,0,
,2021-04-09 00:20:56.787,,,,2021-05-05 22:02:14.519,2021-04-09 00:20:56.841,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":98,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-04-09 00:20:56.787,4f65f1d8-2087-49d4-80b6-bddde698859e,0,
,2021-07-02 19:36:55.562,,,,2021-07-03 21:34:37.029,2021-07-02 19:36:55.613,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":105,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-02 19:36:55.562,fde260ea-a46f-47bc-97a8-4932c5f7bc75,0,
,2021-08-26 00:55:04.551,,,,2021-08-27 23:07:44.506,2021-08-26 00:55:04.587,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":68,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-26 00:55:04.551,6084fa75-ae03-425b-a99d-81d7c3dd50e0,0,
,2021-06-20 20:48:01.142,,,,2021-07-17 13:04:01.508,2021-06-20 20:48:01.203,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":104,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-06-20 20:48:01.142,d6f62d78-655e-4163-a5bb-73213b1ca6fd,0,
,2021-09-24 20:50:06.018,,,,2021-09-25 13:31:30.231,2021-09-24 20:50:06.063,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":87,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-09-24 20:50:06.018,6e6aae99-0089-435b-b8c1-dbc4df0c7e04,0,
,2021-07-11 17:55:03.851,,,,2021-07-12 22:53:29.198,2021-07-11 17:55:03.917,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":90,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-11 17:55:03.851,8f9d5943-6af5-47fc-8683-07b57d366664,0,
,2021-06-15 22:45:50.667,,,,2021-06-17 00:20:15.433,2021-06-15 22:45:50.713,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":76,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-06-15 22:45:50.667,3106fb70-03b0-4bce-9712-5ac1a7c6c119,0,
,2021-01-02 16:54:31.822,,,,2021-01-03 20:01:48.784,2021-01-02 16:54:31.867,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":154,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-01-02 16:54:31.822,17963547-f411-4adf-a8a2-e75c6d708746,0,
1203,,1002,,4800b8df-86d2-68e8-94fc-32736ce7dac6,2022-03-26 15:59:38.639,2021-01-15 15:10:42.324,,,1203,UTC-0500,135393,Idp7XEd6un,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-01-15 15:06:21.730,5aaaf8fa-47a6-4ab7-aec8-2c77d324718d,0,
,2021-03-03 01:14:19.915,,,,2021-03-06 23:42:40.451,2021-03-03 01:14:19.989,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-03-03 01:14:19.915,e48598fd-7215-4e35-b854-2037c0e624be,0,
,,,,,2020-10-30 13:13:26.746,2020-10-30 13:13:26.746,,,LAST_SLEEP_CHECKING_TIME,,,Idp7XEd6un,com.sec.android.app.shealth,Sleep.Goal.Temp,1970-01-01 00:00:00.000,a96a18ca-2d37-4964-9177-35dfc5c48817,-10000,
,2021-01-03 20:01:48.745,,,,2021-01-07 03:05:22.149,2021-01-03 20:01:48.788,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":79,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-01-03 20:01:48.745,7e2ee21a-1391-4dc1-a773-6905ce2c017a,0,
,2021-07-24 20:14:54.645,,,,2021-07-25 17:15:01.693,2021-07-24 20:14:54.753,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":136,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-24 20:14:54.645,0096d9b8-623b-41bc-9c17-f25798b1bf97,0,
,2021-04-14 00:31:29.686,,,,2021-04-16 22:53:41.665,2021-04-14 00:31:29.700,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-04-14 00:31:29.686,98f568a1-b22a-4f32-b917-315e4455d010,0,
,2020-11-11 17:21:54.573,,,,2020-11-12 22:38:14.794,2020-11-11 17:21:54.590,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":128,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-11 17:21:54.573,cb71a54e-aa54-4937-8b55-63fcd1e77303,0,
,2021-05-17 23:45:23.289,,,,2021-05-18 23:01:26.622,2021-05-17 23:45:23.334,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":74,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-05-17 23:45:23.289,bf128b17-6d87-4b82-a319-dd55bdc708a1,0,
,2020-11-04 02:13:40.545,,,,2020-11-06 01:14:20.706,2020-11-04 01:15:03.942,,,goal_activity_reward_most_active_day,UTC-0500,"{""mIsCompleted"":false,""mValue"":97,""mValue2"":0}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-04 01:15:03.914,4cbdc979-e215-4360-80bd-7f786e9600bc,0,
,2020-11-12 22:38:14.769,,,,2020-11-14 18:13:07.930,2020-11-12 22:38:14.895,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":92,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-12 22:38:14.769,0aa7562d-baab-4a99-b338-50b1c3f7be29,0,
,2021-01-09 01:30:11.077,,,,2021-01-15 22:16:17.949,2021-01-09 01:30:11.108,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-01-09 01:30:11.077,ae39b8bd-023b-4bb7-b1bc-31b89324fb9d,0,
