com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
6031360,2022-02-25 03:00:55.221,2022-02-24 13:21:46.025,j9zBUHWfhn,com.sec.android.app.shealth,096c2b34-47c4-1375-43e1-47e1196878a6,1645660800000,
4489216,2022-03-02 13:45:11.293,2022-03-02 05:00:04.090,j9zBUHWfhn,com.sec.android.app.shealth,dcd0f7f9-8711-4f9a-f222-d273c6e6f610,1646179200000,
1048576,2022-03-08 13:57:36.318,2022-03-08 01:42:14.346,j9zBUHWfhn,com.sec.android.app.shealth,c6e09778-fe8f-fe5e-dbdb-d495dae4e052,1646697600000,
1122304,2022-03-14 13:32:18.288,2022-03-14 00:52:12.145,j9zBUHWfhn,com.sec.android.app.shealth,0e975092-7067-9eb5-0793-0c7ca5753bd5,1647216000000,
823296,2022-03-20 23:56:55.274,2022-03-20 10:21:09.157,j9zBUHWfhn,com.sec.android.app.shealth,e44c06af-f67a-54f7-7227-fb76a2b107c1,1647734400000,
2048,2022-03-26 15:54:22.261,2022-03-26 12:15:14.690,j9zBUHWfhn,com.sec.android.app.shealth,23e7c45a-bb7d-3f4e-2050-af8e674f515c,1648252800000,
1064960,2021-10-11 18:22:51.285,2021-10-11 07:05:30.331,j9zBUHWfhn,com.sec.android.app.shealth,dfeb75eb-8ec9-229a-0999-a0abe6478de0,1633910400000,
1590272,2020-12-09 01:29:39.288,2020-12-08 13:13:04.896,j9zBUHWfhn,com.sec.android.app.shealth,62be2b5f-f684-3be2-b40c-2c785d90bc6b,1607385600000,
2906112,2021-12-02 02:12:53.242,2021-12-01 13:00:07.909,j9zBUHWfhn,com.sec.android.app.shealth,0dec9a0b-333a-2e79-f1d6-6b6ac28b2fd1,1638316800000,
6951936,2021-11-02 02:21:33.515,2021-11-01 12:05:43.186,j9zBUHWfhn,com.sec.android.app.shealth,2c35b357-7ed5-4bdc-d11e-b7d28f1a19ad,1635724800000,
1261568,2021-10-13 18:12:22.245,2021-10-13 06:39:15.562,j9zBUHWfhn,com.sec.android.app.shealth,a4231b1e-4301-87ee-b6cd-00508609890c,1634083200000,
2170880,2020-12-29 02:11:31.243,2020-12-28 14:11:35.325,j9zBUHWfhn,com.sec.android.app.shealth,b06bdb43-c091-cd52-1cdc-d1b339e91c02,1609113600000,
5701632,2022-01-18 03:23:41.233,2022-01-17 14:33:35.313,j9zBUHWfhn,com.sec.android.app.shealth,8dce50a1-2515-0c7b-8f45-44d0d2229222,1642377600000,
8817664,2021-05-08 03:31:49.232,2021-05-07 12:34:24.253,j9zBUHWfhn,com.sec.android.app.shealth,39914784-65aa-2f58-d89b-0f1e4b165ca2,1620345600000,
1381376,2021-02-09 01:05:25.220,2021-02-08 13:35:00.891,j9zBUHWfhn,com.sec.android.app.shealth,e3a415ce-72a1-7fc9-400d-e848453cf62b,1612742400000,
8978432,2020-12-14 04:00:42.302,2020-12-13 14:03:01.038,j9zBUHWfhn,com.sec.android.app.shealth,314521d4-6045-5b28-0626-37fc51a510c9,1607817600000,
431104,2021-02-15 23:37:16.262,2021-02-15 14:13:36.052,j9zBUHWfhn,com.sec.android.app.shealth,e543aaa2-6319-c527-5e14-149179355d61,1613347200000,
629248,2021-12-01 00:25:29.247,2021-11-30 13:37:52.711,j9zBUHWfhn,com.sec.android.app.shealth,786fb35b-06fa-0e88-519e-8532d4beae54,1638230400000,
8554496,2021-07-17 03:07:29.229,2021-07-16 12:08:55.554,j9zBUHWfhn,com.sec.android.app.shealth,221b73d4-8b65-bae3-1394-29d38c451725,1626393600000,
100352,2021-09-01 20:20:23.703,2021-09-01 12:37:33.220,j9zBUHWfhn,com.sec.android.app.shealth,d4c50bed-79b0-52df-134a-8407208bf1d1,1630454400000,
4261888,2022-01-27 03:30:33.235,2022-01-26 13:09:16.686,j9zBUHWfhn,com.sec.android.app.shealth,f34ac69b-177e-b6f3-2fd5-c0209c278e12,1643155200000,
2443264,2021-02-04 02:11:46.259,2021-02-03 13:10:49.957,j9zBUHWfhn,com.sec.android.app.shealth,11990225-7388-44bf-7277-6db1128ae700,1612310400000,
4875264,2021-06-14 02:47:11.194,2021-06-13 12:54:18.261,j9zBUHWfhn,com.sec.android.app.shealth,c7c47733-fb37-5fef-f424-0ea979ffc04e,1623542400000,
2467842,2021-03-08 02:04:17.236,2021-03-07 05:00:05.446,j9zBUHWfhn,com.sec.android.app.shealth,1ba32e8a-7a3c-d6c8-8f2c-1c3e1cfca568,1615075200000,
87040,2022-01-18 21:53:56.658,2022-01-18 12:46:37.408,j9zBUHWfhn,com.sec.android.app.shealth,ecf9219b-93a3-9eb3-a6d2-c065cffb39ef,1642464000000,
5252096,2021-09-07 02:01:22.272,2021-09-06 13:15:44.679,j9zBUHWfhn,com.sec.android.app.shealth,eea49fb1-0780-c8b3-fa33-6d4359d0931a,1630886400000,
1742080,2021-10-23 00:23:44.309,2021-10-22 11:14:56.988,j9zBUHWfhn,com.sec.android.app.shealth,f4af4e3d-1d8f-5ad8-308d-67c4cb0633a6,1634860800000,
2097152,2021-07-06 01:11:00.232,2021-07-05 15:39:02.994,j9zBUHWfhn,com.sec.android.app.shealth,41d4f373-8c62-d98a-b755-dd846919fa02,1625443200000,
2248704,2021-10-01 01:21:27.532,2021-09-30 12:26:31.464,j9zBUHWfhn,com.sec.android.app.shealth,e4d698a5-ce5a-7a67-9fbd-b21cfb704610,1632960000000,
16384,2021-06-19 18:13:49.215,2021-06-19 12:04:46.602,j9zBUHWfhn,com.sec.android.app.shealth,d89aa381-f648-7fb3-d5b6-128283c08ab2,1624060800000,
