com.samsung.shealth.tracker.pedometer_day_summary,6211031,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1004,fa78cf1f-55d1-4140-93f0-e3538176b210.binning_data.json,696837,8000,0,2021-03-10 05:00:02.002,com.sec.android.app.shealth,2021-03-10 05:00:02.002,,1.0948104,762.9047,50.758648,1004,Idp7XEd6un,com.sec.android.app.shealth,0,fa78cf1f-55d1-4140-93f0-e3538176b210.achievement.json,fa78cf1f-55d1-4140-93f0-e3538176b210,1615248000000,
2095,36e80897-05e5-4cc2-845d-d2103cf4fa1b.binning_data.json,1150139,8000,0,2022-03-26 15:59:54.895,com.sec.android.app.shealth,2022-03-26 15:59:02.569,,1.4360436,1651.65,104.19,2095,j9zBUHWfhn,com.sec.android.app.shealth,0,36e80897-05e5-4cc2-845d-d2103cf4fa1b.achievement.json,36e80897-05e5-4cc2-845d-d2103cf4fa1b,1648252800000,
3590,deb9c67b-1885-4daa-8278-bbcaa9ec0617.binning_data.json,2083356,8000,0,2021-06-18 04:00:02.229,com.sec.android.app.shealth,2021-06-18 04:00:02.229,,1.3497602,2812.0312,177.46594,3590,Idp7XEd6un,com.sec.android.app.shealth,0,deb9c67b-1885-4daa-8278-bbcaa9ec0617.achievement.json,deb9c67b-1885-4daa-8278-bbcaa9ec0617,1623888000000,
2343,b6d09a88-3e54-463c-88fb-def067700564.binning_data.json,1324993,6000,0,2020-11-07 05:00:01.757,com.sec.android.app.shealth,2020-11-07 05:00:01.757,,1.4030328,1859.0093,115.28992,2343,Idp7XEd6un,com.sec.android.app.shealth,0,b6d09a88-3e54-463c-88fb-def067700564.achievement.json,b6d09a88-3e54-463c-88fb-def067700564,1604620800000,
1952,cba8a37c-08e1-497b-82ab-97d1860bc7e0.binning_data.json,1121740,8000,20,2021-04-23 02:19:06.629,com.sec.android.app.shealth,2021-04-22 12:09:43.153,cba8a37c-08e1-497b-82ab-97d1860bc7e0.source_info.json,1.4052978,1576.3801,103.3342,1932,VfS0qUERdZ,com.sec.android.app.shealth,0,cba8a37c-08e1-497b-82ab-97d1860bc7e0.achievement.json,cba8a37c-08e1-497b-82ab-97d1860bc7e0,1619049600000,
4454,513ae64f-8c09-410f-99c4-e97c04e0cec5.binning_data.json,2436403,8000,30,2021-05-08 04:01:38.948,com.sec.android.app.shealth,2021-05-07 12:33:07.152,513ae64f-8c09-410f-99c4-e97c04e0cec5.source_info.json,1.4610814,3559.783,226.01265,4424,VfS0qUERdZ,com.sec.android.app.shealth,0,513ae64f-8c09-410f-99c4-e97c04e0cec5.achievement.json,513ae64f-8c09-410f-99c4-e97c04e0cec5,1620345600000,
5134,8142879b-90c5-4f8f-b58a-762e8f2bce26.binning_data.json,3172066,6000,18,2020-11-02 05:00:01.556,com.sec.android.app.shealth,2020-11-02 05:00:01.556,,1.2632998,4007.2705,259.10098,5116,Idp7XEd6un,com.sec.android.app.shealth,0,8142879b-90c5-4f8f-b58a-762e8f2bce26.achievement.json,8142879b-90c5-4f8f-b58a-762e8f2bce26,1604188800000,
6138,45b4bba8-21fd-43f7-9a6f-33b6803d46f8.binning_data.json,3743087,8000,7,2021-07-18 04:00:01.909,com.sec.android.app.shealth,2021-07-17 04:15:16.793,,1.284721,4808.8237,306.51947,6131,Idp7XEd6un,com.sec.android.app.shealth,0,45b4bba8-21fd-43f7-9a6f-33b6803d46f8.achievement.json,45b4bba8-21fd-43f7-9a6f-33b6803d46f8,1626480000000,
2966,01a4a84a-5955-4c88-9ce3-a1b31e9e1a0a.binning_data.json,1573981,8000,24,2021-01-12 13:18:07.662,com.sec.android.app.shealth,2021-01-11 12:42:06.718,01a4a84a-5955-4c88-9ce3-a1b31e9e1a0a.source_info.json,1.5195884,2391.804,152.86272,2942,VfS0qUERdZ,com.sec.android.app.shealth,0,01a4a84a-5955-4c88-9ce3-a1b31e9e1a0a.achievement.json,01a4a84a-5955-4c88-9ce3-a1b31e9e1a0a,1610323200000,
3860,491001ba-a61f-43cf-bba3-4e5848fa0906.binning_data.json,2025240,8000,4,2021-03-01 05:00:04.638,com.sec.android.app.shealth,2021-02-28 05:00:04.516,,1.53349,3105.6865,194.30128,3856,j9zBUHWfhn,com.sec.android.app.shealth,0,491001ba-a61f-43cf-bba3-4e5848fa0906.achievement.json,491001ba-a61f-43cf-bba3-4e5848fa0906,1614384000000,
3149,969f3781-72b0-4e82-a730-70ccfc3a28fb.binning_data.json,1670825,8000,218,2021-03-03 05:00:04.456,com.sec.android.app.shealth,2021-03-02 05:00:04.729,,1.5677898,2619.5037,176.17516,2931,j9zBUHWfhn,com.sec.android.app.shealth,0,969f3781-72b0-4e82-a730-70ccfc3a28fb.achievement.json,969f3781-72b0-4e82-a730-70ccfc3a28fb,1614556800000,
1839,46dec061-3731-4238-86b5-84bf6318196b.binning_data.json,1001380,6000,6,2020-10-30 13:14:01.212,com.sec.android.app.shealth,2020-10-30 13:14:01.212,46dec061-3731-4238-86b5-84bf6318196b.source_info.json,1.4012457,1403.18,65.65,1833,VfS0qUERdZ,com.sec.android.app.shealth,0,46dec061-3731-4238-86b5-84bf6318196b.achievement.json,46dec061-3731-4238-86b5-84bf6318196b,1601856000000,
4519,c2d96611-5f4b-4ec6-96d5-3ad39d0c85a4.binning_data.json,2454386,8000,88,2021-04-22 01:43:02.067,com.sec.android.app.shealth,2021-04-21 11:48:24.931,c2d96611-5f4b-4ec6-96d5-3ad39d0c85a4.source_info.json,1.4958668,3671.435,238.23735,4431,VfS0qUERdZ,com.sec.android.app.shealth,0,c2d96611-5f4b-4ec6-96d5-3ad39d0c85a4.achievement.json,c2d96611-5f4b-4ec6-96d5-3ad39d0c85a4,1618963200000,
4682,1c72125a-0cd3-4006-a6bd-85adb3d725dc.binning_data.json,2484681,8000,49,2021-06-15 04:00:03.946,com.sec.android.app.shealth,2021-06-14 04:00:03.830,,1.5313054,3804.807,240.2135,4633,j9zBUHWfhn,com.sec.android.app.shealth,0,1c72125a-0cd3-4006-a6bd-85adb3d725dc.achievement.json,1c72125a-0cd3-4006-a6bd-85adb3d725dc,1623542400000,
5365,5a75ee2c-314e-4f1e-a048-6a0a901549e5.binning_data.json,2819368,6000,383,2020-12-08 05:00:04.532,com.sec.android.app.shealth,2020-12-08 05:00:04.532,,1.5618633,4403.4683,293.4542,4982,j9zBUHWfhn,com.sec.android.app.shealth,0,5a75ee2c-314e-4f1e-a048-6a0a901549e5.achievement.json,5a75ee2c-314e-4f1e-a048-6a0a901549e5,1607299200000,
