com.samsung.shealth.tracker.pedometer_step_count,6211031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
20576,4,0,37,2022-03-26 15:57:00.000,230002,,2022-03-26 15:58:46.262,2022-03-26 15:58:46.262,37,1.4166666,29.15,1.82,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-26 15:57:59.999,3d27b06a-df00-b247-6554-db60a77e996e,
10466,4,0,22,2022-03-26 15:55:00.000,230002,,2022-03-26 15:56:33.375,2022-03-26 15:56:33.374,22,1.5,15.7,1.07,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-26 15:55:59.999,622be76d-b573-5afa-dfda-ca521ddb53c9,
21572,4,47,20,2022-02-15 01:08:00.000,230002,,2022-02-15 01:09:40.316,2022-02-15 01:08:05.791,67,2.794764,60.29,5.61,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 01:08:59.999,9a35347a-b6b8-b007-3d10-e9600d0b6dd5,
38260,4,0,58,2022-03-26 15:56:00.000,230002,,2022-03-26 15:58:46.256,2022-03-26 15:56:33.385,58,1.13642,43.48,2.97,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-26 15:56:59.999,c13a630a-6af3-1e25-3c74-08cc9fc2754c,
11897,4,0,22,2022-02-13 19:20:00.000,,,2022-02-13 19:22:14.804,2022-02-13 19:22:14.804,22,1.4662535,17.444443,1.0805941,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 19:21:00.000,9d60dc65-133b-4ef4-b6d3-4f547900c52d,
60000,4,0,102,2022-02-13 22:50:00.000,230002,,2022-02-13 22:54:17.446,2022-02-13 22:54:17.446,102,1.3036667,78.22,5.1,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:50:59.999,76622f6b-0375-fac1-4e04-563ce34905ef,
6452,4,0,12,2022-02-13 20:45:00.000,,,2022-02-13 20:45:19.432,2022-02-13 20:45:19.432,12,1.5282081,9.86026,0.5844135,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 20:46:00.000,8d6f2397-8e47-40a1-95a9-6738c1eba70f,
11042,4,0,20,2022-02-15 17:54:00.000,230002,,2022-02-15 17:55:05.129,2022-02-15 17:55:05.129,20,1.4444444,15.95,0.98,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 17:54:59.999,fe028845-9576-c254-d9bb-05e4bb65429d,
4233,4,0,8,2022-02-15 14:00:00.000,230002,,2022-02-15 14:03:09.343,2022-02-15 14:00:04.476,8,1.4856713,6.29,0.4,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 14:00:59.999,3f7c23cd-a9c6-f175-65ba-039c3629779d,
9370,4,0,12,2022-02-14 23:29:00.000,230002,,2022-02-14 23:32:38.395,2022-02-14 23:32:38.395,12,0.9166667,8.59,0.61,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 23:29:59.999,b8232c82-d391-f457-8b0c-b6a8010320fe,
36830,4,0,67,2022-02-13 21:58:00.000,230002,,2022-02-13 22:07:01.809,2022-02-13 22:07:01.808,67,1.4444444,53.2,3.29,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 21:58:59.999,5d9c07b0-a003-d962-caa7-45a4940b1847,
36546,4,0,69,2022-02-13 20:33:00.000,230002,,2022-02-13 20:35:04.143,2022-02-13 20:35:04.143,69,1.5,54.82,3.45,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 20:33:59.999,0c77434f-16a1-8b12-0959-f939e7f1044e,
60000,4,0,96,2022-02-13 22:26:00.000,,,2022-02-13 22:29:00.248,2022-02-13 22:29:00.248,96,1.2426839,74.561035,4.760071,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 22:27:00.000,679c1624-5e16-4808-a6fd-1705fc211562,
5616,4,0,10,2022-02-14 00:14:00.000,230002,,2022-02-14 00:14:25.961,2022-02-14 00:14:25.960,10,1.3888888,7.8,0.4,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 00:14:59.999,f703c5eb-d393-ec4f-4016-b53abc1d1fe8,
7226,4,0,11,2022-02-15 02:15:00.000,230002,,2022-02-15 02:16:30.304,2022-02-15 02:16:30.304,11,1.1111112,8.03,0.56,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 02:15:59.999,505725a4-f7cc-4eec-6564-54f1a799ba8a,
6868,4,0,9,2022-02-14 13:08:00.000,,,2022-02-14 13:08:39.991,2022-02-14 13:08:39.337,9,1.0285287,7.0649414,0.44451904,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 13:09:00.000,315f1981-b12b-495d-bb9d-9a2c4e026289,
6203,4,0,18,2022-02-15 15:26:00.000,230002,,2022-02-15 15:28:59.196,2022-02-15 15:28:59.196,12,1.5555556,9.65,0.65,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 15:26:59.999,d9f1e05f-9f38-166d-4e82-cb7b81ca9e8d,
